funder,count,type,country,established
Bureau of Land Management,215,Government,United States,1849
FWF Austrian Science Fund,214,Nonprofit,Austria,1968
China Scholarship Council,213,Nonprofit,China,1996
Leverhulme Trust,210,Nonprofit,United Kingdom,1925
"Ministry of Education, Culture, Sports, Science and Technology",209,Government,Japan,1871
CGIAR,200,Other,France,1971
Agencia Nacional de Promoción Científica y Tecnológica,200,Government,Argentina,1996
Mohamed Bin Zayed Species Conservation Fund,199,Nonprofit,United Arab Emirates,2008
Gordon and Betty Moore Foundation,198,Nonprofit,United States,2000
Fisheries and Oceans Canada,192,Government,Canada,1868
Canada Foundation for Innovation,189,Nonprofit,Canada,1997
United States Agency for International Development,185,Government,United States,1961
Sigma Xi,184,Other,United States,1886
Department of Biological Sciences,180,Facility,Belarus,1947
David and Lucile Packard Foundation,178,Nonprofit,United States,1964
National Research Institute of Chinese Medicine,178,Facility,Taiwan,1963
National Institutes of Health,176,Government,United States,1887
Marie Curie Association,176,Nonprofit,Bulgaria,1999
Directorate for Geosciences,175,Government,United States,
Economic and Social Research Council,174,Government,United Kingdom,1965
Alberta Conservation Association,169,Nonprofit,Canada,1997
Swedish Research Council for Environment Agricultural Sciences and Spatial Planning,168,Government,Sweden,2004
The Conservation Fund,166,Nonprofit,United States,1985
Alexander von Humboldt Foundation,165,Nonprofit,Germany,1860
Royal Society,160,Nonprofit,United Kingdom,1660
Idea Wild,158,Nonprofit,United States,
Environment and Conservation Fund,158,Government,China,1994
Swedish Environmental Protection Agency,155,Government,Sweden,1967
Dutch Research Council,154,Government,Netherlands,1950
Smithsonian Institution,153,Government,United States,1846
Regional Government of Andalusia,152,Government,Spain,1981
Czech Academy of Sciences,152,Government,Czechia,1784
French National Centre for Scientific Research,146,Government,France,1939
Ministry of the Environment,146,Government,Brazil,1992
Fonds de Recherche du Québec – Nature et Technologies,145,Nonprofit,Canada,2011
Arkansas Agricultural Experiment Station,145,Facility,United States,1888
California Department of Fish and Wildlife,143,Government,United States,1909
Texas Parks and Wildlife Department,143,Government,United States,1895
Commonwealth Scientific and Industrial Research Organisation,143,Government,Australia,1926
"Ministry of Education, Universities and Research",142,Government,Italy,1988
Connecticut Agricultural Experiment Station,142,Government,United States,1875
Conservation International,142,Nonprofit,United States,1987
Science and Technology Development Fund,140,Government,China,2004
Government of Catalonia,139,Government,Spain,1977
Canadian Wildlife Federation,139,Nonprofit,Canada,1962
European Union,138,Government,Belgium,1957
Research Foundation - Flanders,137,Government,Belgium,1928
Department of Science and Technology,137,Government,South Africa,
National Marine Fisheries Service,136,Government,United States,1871
Royal Society for the Protection of Birds,131,Nonprofit,United Kingdom,1889
Natural England,130,Government,England,2006
Office of the Director,130,Government,United States,
National Institute of Food and Agriculture,130,Government,United States,2008
Deutsche Bundesstiftung Umwelt,129,Other,Germany,1990
Chinese Academy of Science and Technology for Development,128,Facility,China,2007
Center for Strategic Research,127,Nonprofit,Russia,1999
Arizona Game and Fish Department,124,Archive,United States,
Parks Canada,123,Government,Canada,1911
Department of Conservation,121,Government,New Zealand,1987
US Forest Service,120,Government,United States,1905
Panthera Corporation,119,Nonprofit,United States,2006
American Museum of Natural History,117,Archive,United States,1869
Environment and Climate Change Canada,116,Government,Canada,1971
Scottish Natural Heritage,116,Archive,Scotland,1992
Spanish National Research Council,115,Government,Spain,1939
Boticário Group Foundation,115,Nonprofit,Brazil,1990
Wildlife Science Center,115,Nonprofit,United States,1991
World Wildlife Fund Canada,115,Nonprofit,Canada,1967
Centro Científico Tecnológico - Tandil,114,Facility,Argentina,
National Autonomous University of Mexico,113,Education,Mexico,1910
French Foundation for Biodiversity Research,113,Nonprofit,France,2008
China Research Institute for Science Popularization,112,Nonprofit,China,1980
Australian Wildlife Conservancy,111,Nonprofit,Australia,1991
National Centre for Biological Sciences,110,Facility,India,1992
University of Forestry,110,Education,Bulgaria,1953
Zoological Society of London,109,Nonprofit,United Kingdom,1826
Biodiversity Research Institute,109,Nonprofit,United States,
Project Oceanology,109,Nonprofit,United States,1972
Florida Fish and Wildlife Conservation Commission,109,Government,United States,1999
"NSW Department of Planning, Industry and Environment",107,Government,Australia,2014
Andrew W. Mellon Foundation,107,Nonprofit,United States,1969
Joint Nature Conservation Committee,105,Government,United Kingdom,1991
John D. and Catherine T. MacArthur Foundation,103,Nonprofit,United States,1970
BirdLife International,103,Nonprofit,Kenya,1922
Federal Agency for Nature Conservation,102,Government,Germany,1906
Engineering and Physical Sciences Research Council,102,Government,United Kingdom,1994
Ministry of Science and Technology,102,Government,Denmark,1959
American Ornithological Society,102,Other,United States,1883
Russian Science Foundation,101,Nonprofit,Russia,1991
Ministry of the Environment and Water Resources,101,Government,Singapore,1972
Ministry of Environment,101,Government,Nigeria,1999
National Institute of Biological Resources,101,Facility,South Korea,2007
Long Term Ecological Research Network,101,Other,United States,1980
Office of Polar Programs,100,Government,United States,
Belgian Federal Science Policy Office,100,Government,Belgium,1959
Smithsonian Conservation Biology Institute,99,Facility,United States,1974
"Institute of Biochemistry and Biophysics, Polish Academy of Sciences",99,Facility,Poland,1957
Explorers Club,96,Other,United States,1904
Zhejiang Provincial Natural Science Foundation,96,Government,China,2011
European Cooperation in Science and Technology,95,Other,Belgium,1971
Stellenbosch University,94,Education,South Africa,1866
Earthwatch Institute,94,Nonprofit,United Kingdom,1971
Wildlife Management Institute,94,Education,United States,1911
Fulbright Foundation,93,Nonprofit,Greece,1948
Institut Polaire Français Paul Émile Victor,93,Government,France,1992
Social Sciences and Humanities Research Council,93,Government,Canada,1977
Ministry of Education of the People's Republic of China,93,Government,Taiwan,1949
Species Conservation Foundation,92,Other,Germany,2001
The Velux Foundations,92,Nonprofit,Denmark,1972
Natural Resources Canada,92,Government,Canada,1995
British Ecological Society,92,Other,United Kingdom,1913
United States Army Corps of Engineers,91,Government,United States,1775
China International Science and Technology Cooperation,91,Government,China,1992
Royal Society of New Zealand,90,Nonprofit,New Zealand,1867
Cleveland Metroparks Zoo,90,Archive,United States,1882
Neurological Foundation of New Zealand,89,Nonprofit,New Zealand,1971
National Space Grant Foundation,89,Nonprofit,United States,2001
Programa Iberoamericano de Ciencia y Tecnología para el Desarrollo,88,Other,Spain,1984
Office of Biological and Environmental Research,88,Government,United States,1978
National Institute of General Medical Sciences,88,Facility,United States,1962
New Mexico State University Grants,87,Education,United States,1968
Slovenian Research Agency,87,Government,Slovenia,2003
ARC Centre of Excellence for Coral Reef Studies,87,Facility,Australia,2005
Illinois Department of Natural Resources,87,Government,United States,1995
Colorado Parks and Wildlife,86,Other,United States,
ARC Centre of Excellence for Environmental Decisions,86,Facility,Australia,2011
"Institute of Nuclear Physics, Polish Academy of Sciences",86,Facility,Poland,1955
National Commission for the Knowledge and Use of Biodiversity,86,Government,Mexico,1992
National Parks and Wildlife Service,86,Government,Australia,1967
Wildlife Conservation Society Canada,85,Nonprofit,Canada,2004
United States Bureau of Reclamation,85,Government,United States,1902
Royal Academy of Engineering,85,Nonprofit,United Kingdom,1976
Council for Scientific and Industrial Research,84,Facility,Ghana,1968
Instituto Australis,84,Nonprofit,Australia,
Department of Energy and Environment,84,Government,United States,2016
Animal and Plant Health Inspection Service,83,Government,United States,1972
People's Trust for Endangered Species,83,Nonprofit,United Kingdom,1977
National Audubon Society,83,Nonprofit,United States,1905
Agence de L'Environnement et de la Maitrise de L'Énergie,82,Other,France,1991
BirdLife Australia,82,Other,Australia,2012
South African National Biodiversity Institute,80,Facility,South Africa,2004
Scottish Government,80,Government,Scotland,1999
Hungarian Scientific Research Fund,79,Other,Hungary,1986
Minnesota Department of Natural Resources,79,Government,United States,1931
Global Environment Facility,79,Other,United States,1992
Centro Científico Tecnológico - La Plata,78,Facility,Argentina,2007
Utah Department of Natural Resources,78,Government,United States,
Xunta de Galicia,78,Government,Spain,1978
United States Department of Defense,78,Government,United States,1947
Centre for Australian National Biodiversity Research,78,Government,Australia,1993
Sea Turtle Conservancy,77,Nonprofit,United States,1959
Columbus Zoo and Aquarium,77,Archive,United States,1927
Polish Academy of Sciences,77,Government,Poland,1951
Bureau of Ocean Energy Management,77,Government,United States,2011
Australian Education Research Organisation,76,Nonprofit,Australia,
National Institute of Environmental Research,75,Government,South Korea,1978
Kone Foundation,75,Nonprofit,Finland,1956
World Wide Fund For Nature,75,Nonprofit,Senegal,2000
"Consejo Nacional de Ciencia, Tecnología e Innovación Tecnológica",75,Government,Peru,2005
Norwegian Environment Agency,75,Other,Norway,2013
Fondo Nacional de Ciencia Tecnología e Innovación,75,Government,Venezuela,
Ministry of Education and Research,74,Government,Estonia,1840
Maj and Tor Nessling Foundation,74,Nonprofit,Finland,1972
National Medical Fellowships,72,Nonprofit,United States,1946
James Cook University,72,Education,Australia,1961
International Foundation for Science,71,Nonprofit,Sweden,1965
Primate Conservation,71,Nonprofit,United States,1992
Fundação de Amparo à Pesquisa do Espírito Santo,71,Government,Brazil,2004
Environment Agency,71,Government,United Kingdom,1996
China Philanthropy Research Institute,71,Facility,China,2010
Philippine American Educational Foundation,70,Nonprofit,Philippines,1948
Centre for Invasive Species Solution,70,Facility,Australia,1999
Wisconsin Department of Natural Resources,70,Government,United States,1967
Nebraska Game and Parks Commission,70,Government,United States,1901
Missouri Department of Conservation,69,Archive,United States,1937
Forestry Commission,69,Government,Zimbabwe,1987
"Ministry of Business, Innovation and Employment",69,Government,New Zealand,2012
Conservation Leadership Programme,69,Other,United Kingdom,1985
Fundación BBVA,69,Nonprofit,Spain,2008
"University of California, Davis",69,Education,United States,1905
Queensland Department of Environment and Science,68,Government,Australia,2012
Wildlife Preservation Society of Australia,68,Nonprofit,Australia,1909
"Ministry of Education, Science, Research and Sport of the Slovak Republic",68,Government,Slovakia,2007
Northeast Climate Science Center,67,Government,United States,2012
French National Agency for Water and Aquatic Environments,67,Government,France,2007
Safari Club International,67,Other,United States,1973
United States Global Change Research Program,67,Government,United States,1989
Universidad Nacional de Moquegua,67,Education,Peru,2005
Technology Agency of the Czech Republic,66,Other,Czechia,2009
Pew Charitable Trusts,66,Nonprofit,United States,1948
University of Tennessee at Knoxville,65,Education,United States,1794
German Center for Integrative Biodiversity Research,65,Facility,Germany,2010
Fundação de Amparo à Pesquisa do Estado da Bahia,65,Government,Brazil,2001
National Centre for Antarctic and Ocean Research,65,Government,India,1998
Scientific and Technological Research Council of Turkey,64,Government,Turkey,1963
National Trust for Nature Conservation,64,Nonprofit,Nepal,1982
Department of National Parks Wildlife and Plant Conservation,64,Government,Thailand,2002
Royal South Hants Hospital,64,Healthcare,United Kingdom,1835
Department of the Environment,64,Government,United Kingdom,1974
University of Buenos Aires,64,Education,Argentina,1821
Fundação de Amparo à Pesquisa do Estado de Mato Grosso,63,Government,Brazil,1979
Government of Canada,63,Government,Canada,1867
Argentine Antarctic Institute,63,Government,Spain,1951
China Youth Development Foundation,63,Nonprofit,China,1989
Shaanxi Research Design Institute of Petroleum and Chemical Industry,63,Facility,China,1958
ArcticNet,63,Other,Canada,2003
Genome Canada,62,Nonprofit,Canada,2000
Marine Research Foundation,62,Nonprofit,Malaysia,1951
Hungarian Academy of Sciences,62,Government,Hungary,1825
Scientific Research Support Fund,62,Nonprofit,Jordan,2007
American Society of Mammalogists,62,Nonprofit,United States,1919
"Ministry of Ecology, Sustainable Development and Energy",61,Government,France,1974
Ministry of Ecology and Environment,61,Government,France,2008
Aboriginal Affairs Northern Dev Canada,61,Government,India,1966
China Education and Research Network,61,Facility,China,1994
Japan Ecology Foundation,61,Other,Japan,
University of Otago,61,Education,New Zealand,1869
"Ministry of Research, Technology and Higher Education",61,Government,Indonesia,1962
University of Natural Resources and Life Sciences,60,Education,Austria,1872
Nature Foundation SA,60,Nonprofit,Australia,1981
National Museum of Natural History,60,Archive,France,1793
Oklahoma Department of Wildlife Conservation,60,Archive,United States,1956
The Ministry of Education and Science of the Russian Federation,60,Government,Russia,2004
Georgia Department of Natural Resources,59,Government,Georgia,
Carlsberg Foundation,59,Nonprofit,Denmark,1876
Ecosystem Sciences,59,Facility,Australia,2011
Basque Government,59,Government,Spain,1936
German National Academic Foundation,59,Nonprofit,Germany,1925
Alberta Innovates,59,Government,Canada,2010
Wildlife Habitat Canada (Canada),59,Nonprofit,Canada,1984
Finnish Cultural Foundation,58,Nonprofit,Finland,1939
University Grants Committee,58,Government,China,1991
Department of Biotechnology,58,Government,India,1986
Department for International Development,58,Government,Australia,1997
Slovak Research and Development Agency,58,Government,Slovakia,2005
PADI Foundation,58,Nonprofit,United States,1992
Ministry of Education and Science,58,Government,Estonia,
Ocean Park Conservation Foundation,58,Other,China,2005
Ministry of Natural Resources,58,Government,Rwanda,1989
Sea Research Foundation,58,Nonprofit,United States,
China Social Welfare Foundation,57,Education,China,2005
Arctic Research Centre,57,Facility,Sweden,2012
Chicago Zoological Society,57,Nonprofit,United States,1921
National Institute of Allergy and Infectious Diseases,57,Facility,United States,1955
Volkswagen Foundation,57,Nonprofit,Germany,1961
Nature Conservation Foundation,57,Nonprofit,India,1996
Youth Innovation Promotion Association,57,Other,China,2011
Virginia Department of Game and Inland Fisheries,56,Government,United States,
Idaho Department of Fish and Game,56,Government,United States,1864
Fundação de Amparo à Ciência e Tecnologia de Pernambuco,56,Other,Brazil,1989
Fogarty International Center,56,Healthcare,United States,1968
China Environmental Protection Foundation,56,Nonprofit,China,1993
International Union for Conservation of Nature,56,Nonprofit,Switzerland,1948
Paleontological Society,56,Archive,United States,1908
Research Experiences for Undergraduates,56,Government,United States,
Northern Teacher Education Program,55,Education,Canada,1976
Australian Institute of Marine Science,55,Facility,Australia,1972
Agriculture and Agriculture-Food Canada,55,Facility,Canada,1868
Denver Zoo,55,Archive,United States,1896
University of Queensland,55,Education,Australia,1909
National Institute of Environmental Health Sciences,54,Facility,United States,1966
Sustainable Europe Research Institute,54,Nonprofit,Austria,1999
University of Wisconsin–Madison,54,Education,United States,1848
Canadian Forest Service,54,Government,Canada,1899
Fisheries Research and Development Corporation,54,Other,Australia,1991
BiodivERsA,54,Nonprofit,France,2005
Michigan Department of Natural Resources,53,Government,United States,1887
Chester Zoo,53,Archive,United Kingdom,1931
Fundação de Amparo à Pesquisa do Estado do Amazonas,53,Other,Brazil,2002
African Wildlife Foundation,53,Nonprofit,United States,1961
Fundação de Ciência e Tecnologia,53,Government,Brazil,1942
University of Minnesota System,53,Education,United States,1851
Federal Office for the Environment,53,Government,Switzerland,1971
University of Georgia,53,Education,Georgia,1785
Yunnan Provincial Science and Technology Department,53,Government,China,
Mava Foundation,52,Other,Switzerland,1994
South African National Parks,52,Government,South Africa,1926
Estonian Research Council,52,Government,Estonia,2012
Wyoming Game and Fish Department,51,Government,United States,1973
Griffith University,51,Education,Australia,1971
Terrestrial Ecosystem Research Network,51,Facility,Australia,2009
Institute of Tibetan Plateau Research,51,Facility,China,2003
Whitley Fund for Nature,51,Nonprofit,United Kingdom,1994
Center of Applied Ecology & Sustainability,51,Facility,Chile,2013
National Center for Ecological Analysis and Synthesis,51,Nonprofit,United States,1995
Thailand Research Fund,51,Government,Thailand,1992
Foundation for Strategic Environmental Research,51,Nonprofit,Sweden,1994
"Ministry of Science, Technology, Knowledge and Innovation",50,Government,Spain,2013
Wildlife Conservation Society United Kingdom,50,Nonprofit,England,1895
Foundation for Science Technology and Civilisation,50,Nonprofit,United Kingdom,1999
"National Research, Development and Innovation Office",50,Government,Hungary,
University of Missouri,50,Education,United States,1839
North Carolina Wildlife Resources Commission,50,Government,United States,1947
Colciencias,50,Government,Colombia,2009
Department of Plant Biology,50,Facility,United States,1903
Natural Resources Conservation Service,50,Government,United States,1932
Norwegian Polar Institute,50,Facility,Norway,1928
Estonian Academy of Sciences,50,Government,Estonia,1938
Morris Animal Foundation,50,Nonprofit,United States,1948
University of Alberta,50,Education,Canada,1908
"Ministry of Environment, Forests and Climate Change",49,Government,India,1980
The Wildlife Society,49,Nonprofit,United States,1937
Swedish University of Agricultural Sciences,49,Education,Sweden,1977
National Research Council,49,Government,Romania,1994
International Polar Foundation,49,Other,Belgium,2002
Bat Conservation International,49,Nonprofit,United States,1982
Brazilian Agricultural Research Corporation,48,Government,Brazil,1972
Deutsche Angestellten-Akademie,48,Education,Germany,2001
Office of Naval Research,48,Other,United Kingdom,1946
University of Florida,48,Education,United States,1853
University of Energy and Natural Resources,48,Education,Ghana,2012
National Sanitation Foundation International,48,Facility,United States,1944
Bulgarian Science Fund,48,Government,Bulgaria,2006
Macquarie University,48,Education,Australia,1964
CONAPAC,48,Nonprofit,Peru,1990
Smithsonian Tropical Research Institute,48,Facility,Panama,1904
National Hellenic Research Foundation,48,Nonprofit,Greece,1958
Bird Studies Canada,48,Archive,Canada,1960
Integrative Graduate Education and Research Traineeship,48,Government,United States,1995
New York State Department of Environmental Conservation,48,Government,United States,1970
Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services,48,Government,Germany,2012
Louisiana Department of Wildlife and Fisheries,47,Government,United States,1872
Parks Victoria,47,Government,Australia,1996
Great Lakes Fishery Trust,47,Nonprofit,United States,1996
"Montana Fish, Wildlife & Parks",47,Government,United States,1895
Mental Illness Fellowship,47,Nonprofit,Australia,1978
Nunavut Wildlife Management Board,47,Government,Canada,1994
Tennessee Wildlife Resources Agency,47,Other,United States,1974
Save Our Seas Foundation,47,Nonprofit,Switzerland,2003
Finnish Environment Institute,47,Government,Finland,1995
International Human Frontier Science Program Organization,46,Other,France,1986
Canadian Association for Graduate Studies,46,Other,Canada,1962
Department of Forestry,46,Government,Malawi,1942
Ducks Unlimited Canada,46,Nonprofit,Canada,1937
Spanish Agency for International Development Cooperation,46,Government,Spain,1988
Grønlands Naturinstitut,46,Facility,Greenland,1998
South Carolina Department of Natural Resources,46,Government,United States,1994
Council on Competitiveness,46,Government,United States,1986
Florida Institute for Conservation Science,46,Nonprofit,United States,
Parco Tecnologico Padano,46,Archive,Italy,
Guanacaste Conservation Area,46,Archive,Costa Rica,1989
Regional Government of Castile-La Mancha,46,Government,Spain,1982
University of KwaZulu-Natal,46,Education,South Africa,2004
"Fundação de Apoio ao Desenvolvimento do Ensino, Ciência e Tecnologia do Estado de Mato Grosso do Sul",46,Nonprofit,Brazil,1860
Irish Research Council,45,Government,Ireland,2012
Community Life Project,45,Other,Nigeria,1992
Institute for Biological Sciences,45,Facility,Canada,
University of Pretoria,45,Education,South Africa,1908
Wilburforce Foundation,45,Nonprofit,United States,1991
Virginia Tech,45,Education,United States,1872
Norwegian Institute for Nature Research,45,Facility,Norway,1988
British Trust for Ornithology,45,Nonprofit,United Kingdom,1932
Association of Zoos and Aquariums,45,Nonprofit,United States,1924
"Ministry of Education, Sports and Youth",45,Government,Albania,1912
Robertson Foundation,45,Nonprofit,United States,1996
Tree Research and Education Endowment Fund,45,Nonprofit,United States,2002
Jiangsu Agricultural Science and Technology Innovation Fund,45,Government,China,1949
PROJEKTkompetenz,45,Other,Austria,
Israel Science Foundation,45,Nonprofit,Israel,1972
National Zoological Park,45,Archive,United States,1889
North Carolina Space Grant Consortium,44,Other,United States,1991
"Directorate for Social, Behavioral & Economic Sciences",44,Government,United States,
German Federal Environment Agency,44,Government,Germany,1974
University of Melbourne,44,Education,Australia,1853
Field Projects International,44,Nonprofit,United States,2009
National Science & Technology Education Partnership,44,Nonprofit,United States,1977
Agencia Nacional de Investigación e Innovación,44,Government,Uruguay,2005
California Fire Science Consortium,44,Facility,United States,
Marine Ecology Research Institute,44,Facility,Japan,1975
Zoological Society of San Diego,44,Nonprofit,United States,1916
Stennis Space Center,44,Government,United States,1961
Helmholtz Association of German Research Centres,44,Government,Germany,1995
University of Montana,43,Education,United States,1893
Commonwealth Scholarship Commission,43,Government,United Kingdom,
Environmental Research and Education Foundation,43,Other,United States,1992
Erasmus MC,43,Healthcare,Netherlands,2011
Ministry of the Environment of the Czech Republic,43,Government,Czech Republic,1989
Alberta Environment and Sustainable Resource Development,43,Government,Canada,2012
Institute of Ecology and Biodiversity,43,Nonprofit,Chile,2006
Coral Reef Research Foundation,43,Nonprofit,United States,1991
North Carolina State University,43,Education,United States,1887
Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria,43,Government,Spain,1971
Korea Institute of Human Resources Development,43,Other,South Korea,
National Council for Protected Areas,43,Government,Guatemala,1989
Australian Antarctic Division,43,Government,Australia,1948
Generalitat Valenciana,43,Government,Spain,1418
Forestry Research Institute of Nigeria,43,Government,Nigeria,1954
"Federal Ministry for the Environment, Nature Conservation, Building and Nuclear Safety",43,Government,Germany,1986
Marine Conservation Institute,43,Nonprofit,United States,1996
"Department of Environment, Land, Water and Planning",43,Government,Australia,2015
Ministry of Natural Resources and Forestry,42,Government,Canada,1972
Alfred Wegener Institute for Polar and Marine Research,42,Facility,Germany,1980
Gadjah Mada University,42,Education,Indonesia,1949
Hermon Slade Foundation,42,Nonprofit,Australia,1995
Organismo Autónomo Parques Nacionales,42,Archive,Spain,1995
North Pacific Research Board,42,Nonprofit,United States,1997
Research Center for Eco-Environmental Sciences,42,Facility,China,1975
National Climate Change Adaptation Research Facility,42,Facility,Australia,2008
Alaska Department of Fish and Game,42,Government,United States,1959
"Ministry of Science, Technology and Innovation",42,Government,Brazil,1985
National Research Council Canada,42,Government,Canada,1916
Comunidad de Madrid,42,Government,Spain,1983
Alabama Department of Conservation and Natural Resources,42,Government,United States,1867
Wellcome Trust,42,Nonprofit,United Kingdom,1936
European Research and Project Office,41,Other,Germany,2000
International Fund for Animal Welfare,41,Nonprofit,United States,1969
Canadian Polar Commission,41,Government,Canada,1991
University of Western Australia,41,Education,Australia,1911
International Development Research Centre,41,Government,Canada,1970
Natural Resources Wales,41,Facility,United Kingdom,2013
Jiangsu Province Science and Technology Department,41,Government,China,
North Dakota Game and Fish Department,41,Government,United States,1930
Kennedy Memorial Trust,41,Nonprofit,United Kingdom,1964
Fafo Foundation,41,Facility,Norway,1982
Land Stewardship Project,41,Nonprofit,United States,1982
Australian National University,41,Education,Australia,1946
Agricultural Research Council of South Africa,41,Government,South Africa,1990
Instituto de Ecología,41,Facility,Mexico,1974
Gobierno de Canarias,41,Government,Spain,1982
Comisión Sectorial de Investigación Científica,41,Government,Uruguay,1990
"University of California, Santa Barbara",41,Education,United States,1891
University of Helsinki,41,Education,Finland,1640
Norwegian Research Centre,41,Facility,Poland,2017
West Virginia Division of Natural Resources,40,Government,United States,
King Abdullah University of Science and Technology,40,Education,Saudi Arabia,2009
Chinese Society of Forestry,40,Other,China,1917
Wales Co-operative Centre,40,Nonprofit,United Kingdom,1982
Ministry of Agriculture,40,Government,Estonia,
Ministerul Cercetării și Inovării,40,Government,Romania,
Weston Family Foundation,40,Nonprofit,Canada,1950
Washington Department of Fish and Wildlife,40,Government,United States,1932
Eppley Foundation for Research,40,Nonprofit,United States,1947
Mississippi Department of Wildlife Fisheries and Parks,40,Government,United States,1989
Institute of Zoology,40,Facility,Slovakia,1990
Prince Albert II of Monaco Foundation,40,Nonprofit,Monaco,2006
Danish Ministry of Environment,40,Government,Denmark,2019
Fundação de Amparo à Pesquisa do Estado do Piauí,40,Government,Brazil,2006
Alberta Biodiversity Monitoring Institute,40,Nonprofit,Canada,1998
Jilin Province Science and Technology Department,39,Government,China,1978
Center for International Forestry Research,39,Nonprofit,Peru,1993
Mitacs,39,Nonprofit,Canada,1999
Regional Council of Brittany,39,Government,France,1941
Directorate of Fisheries,39,Government,Norway,1900
Centre for Conservation Biology & Sustainable Development,39,Nonprofit,India,2007
Draper Richards Kaplan Foundation,39,Nonprofit,United States,1994
Czech University of Life Sciences Prague,39,Education,Czech Republic,1906
University of California Division of Agriculture and Natural Resources,39,Education,United States,1913
Institut de Recherche pour le Développement,39,Government,Benin,1937
United States Department of the Interior,39,Government,United States,1849
Antarctica New Zealand,39,Facility,New Zealand,1996
University of Cape Town,39,Education,South Africa,1829
Office National de la Chasse et de la Faune Sauvage,39,Government,France,1972
University of Canterbury,38,Education,New Zealand,1873
European Tropical Forest Research Network,38,Facility,Netherlands,1991
University of British Columbia,38,Education,Canada,1908
Murray Darling Basin Authority,38,Government,Australia,2008
Instituto de Salud Carlos III,38,Nonprofit,Spain,1986
Ministry of Agriculture and Forestry,38,Government,Finland,1971
Game & Wildlife Conservation Trust,38,Nonprofit,United Kingdom,1931
Fundación Severo Ochoa,38,Nonprofit,Spain,
